,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
194,7,0,1,0,0,0,1,0,0,0
195,5,1,1,1,0,0,0,0,0,0
196,5,1,2,1,1,0,0,0,0,0
197,6,0,0,0,0,0,0,0,0,0
198,8,1,0,0,1,0,2,0,0,0
199,4,0,0,0,0,0,0,0,0,0
200,11,10,1,0,1,1,0,0,0,0
201,17,1,0,2,0,0,0,0,0,0
202,17,1,1,0,2,0,0,0,0,0
203,19,0,0,0,2,4,0,0,0,0
204,26,0,0,0,1,0,0,0,0,0
205,20,0,0,1,2,2,0,0,0,0
206,18,2,1,1,1,1,0,0,0,0
207,14,2,1,2,1,0,0,0,0,0
208,15,4,1,0,1,1,0,0,0,0
209,3,0,1,0,0,0,0,0,0,0
210,8,2,2,1,0,0,0,0,0,0
211,11,1,0,0,0,0,0,0,0,0
212,11,2,0,0,0,0,0,0,0,0
213,8,5,0,0,0,0,1,0,0,0
214,12,0,0,0,1,0,0,0,0,0
215,6,0,1,0,0,0,0,0,0,0
216,7,0,0,0,0,0,0,0,0,0
217,6,0,1,0,0,0,0,0,0,0
218,8,0,0,0,0,0,0,0,0,0
219,3,0,0,0,0,0,0,0,0,0
220,2,0,0,0,0,0,0,0,0,0
221,4,1,0,0,1,0,0,0,0,0
222,1,2,0,0,0,0,0,1,0,0
223,3,1,0,0,0,0,0,0,0,0
224,2,3,0,0,0,0,3,0,0,0
225,6,0,0,0,0,0,0,0,0,0
226,4,1,0,0,0,0,0,0,0,0
227,0,4,0,0,0,0,0,0,0,0
228,3,1,0,0,0,0,0,0,0,0
229,0,1,0,0,0,0,0,0,0,0
230,8,3,0,2,1,0,0,0,0,0
231,10,1,1,0,0,2,0,0,0,0
232,8,0,0,1,0,1,0,0,0,0
233,7,0,0,1,0,1,0,0,2,0
234,7,0,0,0,1,0,0,0,1,0
235,13,0,1,1,0,1,0,0,0,0
236,4,0,1,1,0,0,0,0,0,0
237,10,2,0,1,1,0,0,0,0,0
238,4,0,1,0,0,0,0,0,0,0
239,8,2,0,0,0,0,0,0,0,0
240,8,0,2,1,0,0,1,0,0,0
241,10,1,1,0,0,0,0,0,0,0
242,13,0,0,0,0,0,0,0,0,0
243,9,2,0,0,0,0,3,0,0,0
244,9,3,0,0,0,0,1,0,0,0
245,10,2,2,0,0,1,2,0,0,0
246,16,0,0,0,0,1,2,0,0,0
247,11,0,2,0,0,0,2,0,0,0
248,7,1,3,0,0,0,0,0,0,0
249,3,4,1,0,0,0,0,0,0,0
250,4,0,0,2,0,0,0,0,0,0
251,6,0,0,1,0,0,0,0,0,0
252,4,0,0,0,0,0,0,0,0,0
253,6,0,1,0,0,0,0,0,0,0
254,6,1,0,0,1,0,0,0,0,0
255,6,0,0,1,0,0,0,0,0,0
256,7,0,0,1,1,0,0,0,0,0
257,6,0,1,1,0,0,0,0,0,0
258,1,0,1,1,0,0,0,0,0,0
259,2,0,1,0,0,0,0,0,0,0
260,7,3,1,0,0,0,0,0,0,0
261,9,0,1,0,0,1,0,0,3,0
262,17,1,1,3,0,0,0,0,0,0
263,15,0,0,2,0,0,1,0,0,0
264,16,3,1,2,0,0,2,0,0,0
265,13,1,1,1,3,0,0,0,0,0
266,15,0,0,0,1,0,1,1,0,0
267,23,1,3,0,0,0,0,0,0,0
268,18,1,3,1,2,0,0,0,0,0
269,9,1,2,0,2,0,0,0,0,0
270,8,2,1,2,1,0,0,0,0,0
271,8,0,3,0,0,2,0,1,0,0
272,10,2,1,0,1,0,0,0,0,0
273,10,1,0,0,1,1,0,1,1,0
274,11,0,1,0,0,0,0,0,1,0
275,14,0,0,1,0,2,0,0,0,0
276,12,1,0,1,1,1,0,1,0,0
277,5,0,2,2,1,3,0,1,0,0
278,7,1,0,1,1,1,0,0,0,0
279,14,1,1,0,0,0,0,0,0,0
280,4,1,0,1,0,0,0,0,0,0
281,1,1,0,0,0,0,0,0,0,0
282,1,0,1,0,0,0,0,0,0,0
283,4,0,0,0,0,0,0,0,0,0
284,6,0,0,0,0,1,0,0,0,0
285,6,0,0,0,0,1,0,0,0,0
286,4,0,0,1,0,0,0,0,0,0
287,1,0,1,2,0,0,0,0,0,0
288,0,1,0,0,0,0,0,0,0,0
289,3,0,0,0,0,0,0,0,0,0
290,9,0,0,0,0,0,1,0,0,0
291,7,1,0,0,1,0,1,0,0,0
292,5,5,0,0,0,0,0,0,0,0
293,9,2,0,0,2,0,1,0,0,0
294,7,1,2,0,2,0,0,0,0,0
295,9,0,0,0,1,0,1,0,0,0
296,13,0,1,0,1,0,0,0,0,0
297,9,0,0,0,2,0,0,0,0,0
298,5,1,1,0,0,0,0,0,0,0
299,4,0,0,0,1,0,0,0,0,0
300,10,0,1,0,0,0,0,0,0,0
301,6,0,0,0,0,0,0,1,0,0
302,7,0,0,0,0,0,1,0,0,0
303,3,2,2,0,0,0,0,0,0,0
304,12,0,0,0,0,0,1,0,0,0
305,13,0,0,0,0,0,0,0,0,0
306,10,0,0,1,0,0,0,1,0,0
307,13,0,1,0,0,1,0,0,0,0
308,3,1,0,0,0,0,1,0,0,0
309,6,0,1,0,0,0,0,0,0,0
310,3,0,0,2,0,0,0,0,0,0
311,2,2,0,0,1,0,0,0,0,0
312,5,0,0,2,1,0,0,0,0,0
313,1,2,1,0,1,0,0,0,0,0
314,1,3,0,0,0,0,0,0,0,0
315,6,1,0,0,0,0,0,0,0,0
316,3,0,0,0,0,0,0,0,0,0
317,1,0,0,0,2,0,0,0,0,0
318,2,0,0,2,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0
320,8,0,3,1,0,0,1,0,0,0
321,11,1,1,0,0,0,0,0,0,0
322,13,0,0,0,0,0,0,0,0,0
323,9,2,0,0,0,0,3,0,0,0
324,9,3,0,0,0,0,1,0,0,0
325,10,2,2,0,0,1,2,0,0,0
326,15,0,1,0,0,1,2,0,0,0
327,11,0,2,0,0,0,2,0,0,0
328,8,1,3,0,0,0,0,0,0,0
329,4,4,1,0,0,0,0,0,0,0
330,5,1,1,3,0,0,0,0,0,0
331,9,1,1,1,0,0,0,0,0,0
332,9,1,0,0,1,1,0,0,0,0
333,6,4,0,0,0,0,0,0,0,0
334,10,4,0,1,0,0,0,1,0,0
335,10,3,0,0,0,0,0,0,0,0
336,6,3,1,2,0,0,0,0,0,0
337,6,2,0,0,0,1,0,0,1,0
338,5,1,2,0,0,1,0,0,0,0
339,2,0,0,0,0,0,0,0,0,0
340,23,4,3,0,2,0,0,0,0,0
341,34,2,0,1,1,2,0,1,0,0
342,31,3,0,1,2,4,0,1,1,0
343,37,1,1,1,1,1,0,0,1,0
344,35,2,2,0,2,4,0,0,0,0
345,18,1,2,1,0,2,0,0,0,0
346,27,2,1,0,1,0,0,0,0,0
347,38,3,2,3,2,1,0,5,4,0
348,19,6,3,1,2,0,0,2,0,0
349,16,1,2,0,1,1,0,0,1,0
350,1,0,0,1,0,0,0,0,0,0
351,1,0,0,1,0,0,0,0,0,0
352,4,0,0,0,0,0,0,0,0,0
353,2,0,0,0,0,0,0,0,0,0
354,3,0,0,0,0,0,0,0,0,0
355,1,0,0,1,0,0,0,0,0,0
356,4,0,0,1,0,0,0,0,0,0
357,1,1,1,0,0,0,0,0,0,0
358,1,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0
360,4,0,0,1,0,0,0,0,0,0
361,2,0,0,0,0,0,0,0,0,0
362,4,0,0,0,0,0,0,0,0,0
363,2,2,0,0,1,0,0,0,0,0
364,2,1,0,0,0,0,0,0,0,0
365,2,0,0,0,0,0,0,0,0,0
366,3,0,0,0,0,0,0,0,0,0
367,4,0,0,0,0,0,0,0,0,0
368,2,0,0,0,0,0,0,0,0,0
369,1,0,0,0,0,0,0,0,0,0
370,6,0,0,0,0,0,0,0,0,0
371,5,0,0,0,0,0,0,0,0,0
372,6,0,0,0,1,0,0,0,0,0
373,8,0,0,0,0,0,0,0,0,0
374,4,0,0,0,1,0,0,0,0,0
375,5,0,0,0,1,0,0,0,0,0
376,8,0,0,0,2,0,1,0,0,0
377,2,1,0,0,0,0,0,0,0,0
378,7,1,1,0,0,0,0,1,0,0
379,3,0,1,0,0,0,0,0,0,0
380,6,0,1,1,0,0,0,0,0,0
381,5,5,0,0,0,0,0,0,0,0
382,2,2,0,0,0,0,0,0,0,0
