Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula,Induction
56,3,5,0,0,0,0,0,1,0,1
181,58,12,3,8,3,11,2,0,1,16
35,10,8,1,3,0,0,0,0,0,0
28,5,3,0,0,0,1,1,0,0,1
178,7,10,0,8,10,16,1,5,0,0
168,4,11,6,3,6,0,0,0,0,8
68,1,8,3,0,1,0,0,2,0,9
57,2,5,2,5,0,3,0,1,0,3
56,16,7,5,0,0,0,0,0,0,3
40,14,5,0,0,1,0,0,0,0,1
56,2,8,3,0,0,0,0,0,0,0
80,11,3,0,0,0,3,3,2,0,0
101,21,7,0,13,2,14,1,0,0,1
36,3,3,0,0,3,2,0,1,0,3
27,2,4,0,2,0,0,0,0,0,0
26,1,4,8,0,1,0,0,0,0,14
174,27,10,10,11,13,0,4,2,0,0
124,12,20,8,6,6,0,3,3,0,1
56,4,5,3,6,1,0,1,0,0,7
80,1,6,0,0,0,0,0,0,0,3
71,1,5,4,1,6,0,0,0,0,2
68,11,1,7,9,0,8,1,0,0,1
50,7,16,4,3,0,0,0,0,0,3
91,45,23,1,2,4,0,0,2,0,25
42,6,10,3,3,0,0,0,0,0,0
56,2,3,0,3,0,2,0,0,0,0
61,3,5,1,1,0,4,1,0,0,0
19,11,4,8,2,2,0,0,0,0,8
47,1,2,0,1,0,0,0,0,0,5
51,12,6,3,0,2,0,0,1,0,4
41,2,2,3,1,0,1,0,0,0,2
152,3,4,5,3,6,0,3,0,0,12
48,9,6,5,7,9,0,0,3,0,3
61,3,4,6,1,0,0,0,2,0,8
42,4,1,1,2,1,4,2,0,0,0
53,2,4,3,2,1,0,0,1,0,0
53,2,4,3,2,1,0,0,1,0,0
35,14,8,1,0,0,0,0,0,0,4
52,17,2,0,6,1,6,0,0,5,2
144,11,13,11,5,5,0,3,1,0,0
67,1,7,6,2,5,0,0,1,0,1
77,2,4,6,0,3,0,0,0,0,2
67,1,8,1,3,1,0,0,0,0,0
59,9,9,3,2,1,0,0,1,0,7
84,29,16,13,0,3,0,0,0,4,9
42,9,8,5,4,6,0,1,1,0,1
37,2,7,4,1,1,0,0,0,3,1
72,7,5,0,0,0,1,1,0,2,0
72,7,5,0,0,0,1,1,0,2,0
67,5,2,2,2,1,1,0,0,0,2
56,5,10,4,6,0,4,1,0,0,0
30,8,9,1,1,0,0,0,0,0,3
73,4,2,10,2,5,0,0,1,0,3
27,4,3,3,0,0,0,0,1,0,0
35,1,2,2,1,1,0,0,1,0,5
59,0,6,0,6,0,4,0,0,0,3
131,10,11,1,0,5,4,1,0,0,0
30,5,4,1,2,0,2,1,0,0,1
47,0,9,3,2,1,0,3,0,0,1
68,2,6,2,0,3,0,0,1,0,0
62,3,3,11,4,9,1,2,4,0,3
128,13,12,1,8,4,4,3,0,0,2
45,9,3,4,2,1,0,1,0,0,3
49,2,6,0,4,0,0,0,0,0,2
54,3,5,5,1,0,0,3,1,0,3
46,6,6,1,4,5,0,0,1,0,4
54,7,3,0,3,0,2,2,1,0,1
156,14,8,0,10,8,10,0,2,0,6
43,0,7,0,1,2,0,2,1,0,0
24,3,6,0,0,2,5,0,0,0,3
81,20,7,20,0,1,0,1,0,0,2
41,22,0,0,9,0,4,0,0,0,1
33,5,5,2,1,0,0,1,0,0,5
206,22,20,4,15,1,0,5,1,0,28
255,35,11,0,22,21,10,0,0,4,0
45,13,16,0,5,2,7,0,1,0,7
36,5,1,1,1,0,0,1,0,0,3
35,14,7,3,0,1,0,3,0,0,1
91,9,8,0,6,0,5,0,0,8,0
16,18,0,2,0,0,0,1,0,0,5
24,4,2,0,0,0,0,0,0,0,0
39,2,4,0,1,1,0,0,0,0,2
71,5,16,4,9,0,0,0,0,0,8
83,4,8,7,3,0,3,1,1,1,7
25,1,6,0,1,0,2,0,0,0,0
136,12,4,12,4,6,5,0,0,0,19
84,15,18,7,7,3,0,0,1,0,2
28,4,5,1,1,0,1,1,0,0,0
46,1,11,6,0,1,0,0,0,0,0
59,10,6,6,3,4,0,0,0,2,6
24,2,3,0,1,0,0,1,0,0,0
62,3,8,3,4,6,0,0,0,0,3
150,9,6,3,7,0,9,0,0,0,0
32,4,1,0,5,2,0,0,0,0,0
36,6,1,0,0,0,2,1,0,0,0
42,9,5,0,3,0,5,3,0,0,0
38,5,2,4,0,1,0,1,1,0,0
157,19,12,0,15,4,2,1,2,0,10
181,31,18,3,5,11,1,0,2,0,10
34,5,4,2,0,0,0,0,0,0,11
39,7,4,5,4,0,0,0,0,0,2
36,15,7,1,9,0,2,1,0,0,0
47,1,7,5,1,0,0,0,0,0,4
74,4,9,0,2,1,0,1,0,0,15
44,3,2,2,0,0,0,0,3,0,3
26,8,3,3,0,1,0,0,1,0,2
75,9,8,2,3,3,1,0,1,0,12
20,19,8,6,11,5,0,0,0,0,4
49,4,2,4,2,1,0,0,0,0,1
48,6,3,6,1,7,0,0,0,0,7
117,19,19,5,9,5,0,1,2,0,2
39,3,4,2,0,3,0,1,0,0,1
75,1,9,0,3,0,6,0,0,0,0
43,1,7,2,1,1,2,0,0,0,0
78,2,11,3,8,0,3,1,0,0,1
63,3,6,4,2,1,0,0,0,0,5
131,22,8,7,6,2,0,1,0,0,2
20,7,5,1,2,0,0,0,0,0,0
57,6,5,7,4,3,0,10,0,0,0
62,3,9,0,0,0,0,2,1,0,0
53,9,6,1,1,0,1,0,0,0,1
93,4,18,6,0,6,0,0,1,0,7
63,10,4,3,1,0,2,0,1,0,1
57,7,0,1,0,0,0,0,0,0,0
40,1,4,1,1,0,0,1,0,0,3
38,5,5,2,0,0,0,0,0,0,2
112,7,11,8,4,6,0,0,2,0,20
73,2,3,0,4,0,3,1,0,5,0
108,0,13,4,6,1,0,0,1,0,0
120,15,8,0,2,0,5,0,0,0,0
61,5,1,9,2,0,0,2,0,0,0
43,4,10,3,3,0,7,0,0,0,5
151,18,11,0,3,0,6,1,0,0,0
81,5,1,0,0,0,7,0,2,0,0
36,3,4,5,2,0,0,0,0,0,0
151,18,11,0,3,0,6,1,0,0,0
62,5,6,0,5,0,5,2,0,0,0
80,1,14,6,0,7,0,0,2,0,6
39,5,8,0,1,0,4,0,0,0,4
66,11,8,6,6,0,0,1,0,0,0
30,4,2,0,0,0,0,3,0,0,0
99,18,9,7,8,8,1,4,0,0,2
77,14,22,13,5,4,0,0,0,0,11
82,10,2,8,2,5,1,0,2,0,3
35,11,5,2,3,0,0,1,0,0,0
4,6,3,0,0,0,0,0,0,0,0
29,1,1,2,1,0,0,0,0,0,8
29,5,0,1,2,0,0,0,0,0,10
50,2,4,5,0,1,0,2,1,0,0
32,6,1,8,0,6,0,0,0,0,4
27,3,2,0,0,1,0,1,1,0,5
37,0,2,2,1,2,1,1,0,0,0
66,3,4,1,2,3,0,0,6,0,1
25,5,8,5,0,3,0,2,0,0,4
58,2,6,9,3,5,0,1,0,0,6
17,4,0,2,1,0,0,0,0,0,0
146,4,14,12,11,1,12,0,0,0,5
82,6,8,5,8,3,0,2,1,0,1
56,2,10,6,2,0,0,0,0,0,1
10,18,10,3,3,0,0,6,0,0,8
55,17,9,0,3,0,0,1,0,0,0
31,1,4,1,3,0,2,0,0,0,8
59,3,4,0,0,0,1,0,0,0,6
10,11,2,0,2,0,0,1,0,0,0
62,9,2,8,4,5,0,2,0,0,3
70,4,1,1,2,1,2,0,0,0,2
29,4,3,1,1,1,0,0,1,0,6
17,5,3,1,1,0,0,0,0,0,0
17,5,3,1,1,0,0,0,0,0,0
111,14,1,1,7,3,12,0,0,5,9
38,5,4,4,2,2,0,0,1,0,5
54,2,3,4,1,0,0,0,0,0,3
50,3,4,8,5,4,0,1,0,0,7
36,8,7,1,5,1,0,0,2,0,0
85,5,7,0,0,0,8,5,0,0,0
88,10,1,0,12,0,7,0,0,0,0
21,5,3,2,4,1,0,0,2,0,0
29,2,6,0,2,0,3,0,0,0,6
62,4,8,3,3,2,0,0,0,0,3
84,4,2,0,2,0,1,0,0,0,1
55,3,9,8,4,8,1,0,0,0,8
41,4,3,4,0,0,0,0,1,0,5
28,3,4,2,2,0,0,0,0,0,1
126,9,12,7,13,8,4,2,0,0,14
27,2,3,1,0,0,0,2,0,0,1
