,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
319,4,1,1,0,0,0,0,0,0,0
320,5,1,1,1,1,0,0,0,0,0
321,3,0,0,0,2,0,0,0,0,0
322,4,3,1,2,1,0,0,0,0,0
323,4,2,0,1,1,0,0,0,0,0
324,4,0,0,0,2,0,0,0,0,0
325,4,0,1,0,0,0,0,0,0,0
326,6,0,1,1,0,0,0,0,0,0
327,6,0,1,1,0,0,0,0,0,0
328,5,0,1,2,1,1,0,0,0,0
329,0,0,1,1,0,0,0,0,0,0
330,7,0,1,0,0,0,0,0,0,0
331,8,1,0,2,0,0,0,0,0,0
332,8,0,1,0,0,0,0,0,0,0
333,9,0,0,1,2,0,0,1,0,0
334,9,1,0,2,0,0,0,0,0,0
335,9,0,1,1,0,1,0,0,0,0
336,11,0,0,1,1,0,0,1,0,0
337,10,0,0,5,0,0,0,0,0,0
338,9,0,0,1,0,0,0,0,0,0
339,7,0,0,0,0,0,0,0,0,0
340,3,2,0,0,0,0,0,0,0,0
341,4,0,0,0,2,0,0,0,0,0
342,3,0,0,0,0,0,0,0,0,0
343,2,0,0,0,0,0,0,0,0,0
344,4,0,0,0,0,0,0,0,0,0
345,5,0,0,0,0,0,0,0,0,0
346,4,1,0,0,0,0,0,0,0,0
347,1,1,0,0,0,0,0,0,0,0
348,4,0,0,0,0,0,0,0,0,0
349,2,0,0,0,0,0,0,0,0,0
350,17,0,0,0,0,0,0,0,0,0
351,13,1,0,0,1,0,0,0,0,0
352,6,5,0,0,0,0,1,0,0,1
353,13,1,0,0,0,0,1,0,0,1
354,12,0,0,0,0,0,0,0,0,0
355,16,0,0,0,0,0,0,0,0,0
356,17,0,0,0,0,0,0,0,0,0
357,6,0,1,0,0,0,0,0,0,0
358,13,2,0,2,0,2,0,0,0,0
359,2,1,0,1,0,0,0,0,0,0
360,6,0,0,0,0,0,0,0,0,0
361,6,0,0,0,1,0,0,0,0,0
362,5,0,0,0,0,0,0,0,0,1
363,3,0,0,0,0,0,0,0,0,2
364,3,2,0,0,0,0,0,0,0,1
365,5,2,0,0,0,0,0,0,0,0
366,4,0,0,0,0,0,0,0,0,0
367,7,0,0,0,0,1,0,0,0,0
368,3,1,0,2,0,0,0,0,0,0
369,1,0,0,0,0,0,0,0,0,0
370,6,2,1,1,0,0,0,0,0,0
371,12,0,0,0,1,0,0,0,0,0
372,9,0,0,1,1,0,0,0,0,0
373,13,0,0,0,1,0,0,0,1,0
374,12,0,1,0,3,0,0,0,0,0
375,9,1,1,1,1,0,0,0,0,0
376,11,1,0,0,1,0,0,1,0,0
377,7,0,0,1,0,0,0,0,0,0
378,5,1,0,1,0,0,0,0,0,0
379,0,1,0,0,0,0,0,0,0,0
380,7,0,0,0,0,0,0,0,0,0
381,6,0,1,3,0,0,0,0,0,0
382,4,1,2,0,2,1,0,1,0,0
383,4,1,0,1,0,0,0,0,0,0
384,5,0,0,0,0,1,0,0,0,0
385,6,0,0,0,1,0,0,0,0,0
386,9,0,0,2,0,2,0,0,0,0
387,6,1,1,0,0,0,0,0,0,0
388,3,0,1,3,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0
390,7,0,0,0,0,0,0,0,0,0
391,9,0,0,0,0,0,0,0,0,0
392,0,0,0,5,0,0,0,0,0,0
393,4,0,1,1,0,2,0,0,0,0
394,6,0,0,0,0,0,0,0,0,0
395,7,0,0,1,0,0,0,0,0,0
396,8,0,0,1,0,1,0,0,0,0
397,3,0,0,2,0,1,0,0,0,0
398,3,0,1,2,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0
400,8,0,0,0,0,0,0,0,0,0
401,5,1,0,0,0,0,0,0,0,0
402,8,0,0,0,0,0,0,0,0,0
403,6,0,0,0,0,0,0,2,0,1
404,9,1,0,0,0,0,2,0,0,0
405,8,2,0,0,0,0,0,0,0,0
406,7,1,0,0,0,0,1,0,0,1
407,9,0,0,0,0,1,0,0,0,0
408,7,1,0,0,0,0,0,0,0,1
409,5,0,1,0,0,0,0,0,0,0
410,2,1,0,0,0,0,0,0,0,0
411,8,0,0,0,0,0,0,0,0,0
412,9,0,0,0,0,0,0,0,0,0
413,8,1,0,0,1,0,1,0,0,0
414,9,1,0,0,0,0,1,1,0,0
415,8,4,0,1,0,0,0,0,0,0
416,9,0,0,0,0,0,1,0,0,0
417,5,1,0,1,0,1,0,0,0,0
418,6,2,0,0,0,0,1,0,0,0
419,4,1,0,0,0,0,0,0,0,0
420,10,0,1,3,0,0,0,0,0,0
421,6,4,0,0,0,0,0,1,0,0
422,10,0,0,2,0,0,2,0,0,0
423,7,4,0,0,0,2,0,0,0,0
424,8,1,0,0,0,0,1,3,0,0
425,10,0,0,1,0,0,0,5,0,0
426,8,0,0,1,0,0,0,1,0,0
427,11,0,0,1,0,2,0,0,0,0
428,8,0,2,2,0,1,0,0,0,0
429,1,0,0,0,0,0,0,0,0,0
430,8,0,0,0,0,0,0,0,0,0
431,10,0,0,0,0,0,0,0,0,0
432,8,0,0,0,0,0,0,0,0,0
433,5,0,1,0,0,0,0,0,0,0
434,12,0,1,0,0,0,0,0,0,0
435,15,0,0,0,0,1,0,0,0,0
436,6,0,0,0,1,2,0,0,0,0
437,2,1,1,0,0,2,0,0,0,0
438,5,0,1,0,1,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0
440,5,7,2,0,0,0,0,0,0,0
441,5,1,2,2,0,0,0,0,0,0
442,9,0,0,3,1,0,0,0,0,0
443,9,2,0,1,1,0,0,0,0,0
444,4,4,1,2,0,0,0,0,0,0
445,6,1,0,0,1,0,0,0,0,0
446,8,0,0,0,2,0,0,0,0,0
447,5,0,1,1,4,0,0,0,0,0
448,9,1,1,1,2,0,0,0,0,0
449,6,5,2,0,1,0,0,0,0,0
450,3,7,0,1,0,0,0,0,0,0
451,10,0,0,0,0,2,0,0,0,0
452,12,0,1,0,0,1,0,0,1,0
453,5,0,0,0,0,0,0,0,0,0
454,7,0,4,1,0,1,0,0,0,0
455,9,0,1,2,0,2,1,0,0,0
456,10,1,2,2,0,0,0,0,0,0
457,6,0,3,0,0,0,0,0,0,0
458,11,0,2,0,0,1,0,0,0,0
459,6,0,0,1,0,0,0,0,0,0
460,3,2,0,0,0,0,1,0,0,1
461,9,0,0,0,0,0,0,0,0,0
462,9,0,0,0,0,0,0,0,0,0
463,2,5,0,0,0,0,1,0,0,1
464,6,1,0,0,0,0,0,0,0,0
465,9,0,0,0,0,0,0,0,0,0
466,7,1,0,0,1,0,1,0,0,0
467,3,2,0,0,1,0,0,0,0,0
468,4,3,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0,0
470,5,1,2,0,0,0,0,0,0,0
471,2,1,0,0,1,0,0,0,1,0
472,10,0,0,0,0,0,0,0,0,0
473,0,2,0,0,0,0,0,0,1,0
474,9,1,0,0,0,0,0,0,0,0
475,6,0,0,0,4,0,0,0,0,0
476,4,0,1,0,1,0,0,0,1,0
477,4,1,0,0,0,0,0,0,0,0
478,6,2,0,0,1,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0
480,6,1,1,1,0,0,0,2,0,0
481,12,0,0,0,1,0,0,0,0,0
482,7,4,0,0,0,1,0,1,0,1
483,13,0,0,2,0,1,0,0,0,0
484,7,1,0,0,0,0,0,0,0,1
485,5,0,0,0,1,0,0,1,0,1
486,11,0,0,0,0,0,0,0,0,0
487,14,0,0,0,0,0,0,0,0,0
488,11,0,0,0,1,1,0,0,1,0
489,4,0,0,0,0,0,0,0,0,0
490,4,0,2,1,0,0,0,0,0,0
491,4,1,3,2,0,0,0,0,0,0
492,3,0,3,3,0,0,0,0,0,0
493,4,1,1,1,0,0,0,0,0,0
494,4,0,1,1,0,0,0,0,0,0
495,5,0,0,0,1,0,0,0,0,0
496,0,0,0,0,0,0,0,0,0,0
497,1,1,0,0,1,0,0,0,0,0
498,6,0,1,0,1,0,0,0,0,0
499,4,2,1,0,0,0,0,0,0,0
500,5,1,1,0,0,0,0,0,0,0
501,8,0,0,0,1,0,1,0,0,0
502,3,3,0,0,0,0,0,0,0,0
503,4,3,0,0,0,0,0,0,0,0
504,4,3,0,0,0,0,0,0,0,0
505,5,0,0,0,0,0,0,0,0,0
506,13,0,0,0,0,0,0,0,0,0
507,6,0,0,0,0,0,0,0,0,0
508,3,0,0,0,0,0,0,0,0,0
509,2,2,0,0,0,0,0,0,0,0
510,9,1,1,1,0,1,0,1,0,0
511,10,1,0,1,0,0,0,0,0,0
512,6,0,0,1,0,0,0,1,0,0
513,9,0,0,0,0,1,0,0,1,0
514,5,0,1,1,0,2,0,0,0,0
515,9,0,1,2,0,0,0,0,1,0
516,8,0,1,1,0,1,0,0,0,0
517,4,1,1,0,0,0,0,1,0,0
518,1,0,2,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0,0,0,0
520,6,0,0,0,1,0,0,0,0,0
521,5,0,0,0,0,0,0,0,0,0
522,4,0,0,0,0,0,0,0,0,0
